name,category,level
park,whitelist,normie
internet,whitelist,normie
private,whitelist,normie
council,whitelist,normie
research,whitelist,normie
central,whitelist,normie
firm,whitelist,normie
yet,whitelist,normie
believe,whitelist,normie
close,whitelist,normie
however,whitelist,normie
san,whitelist,normie
agreement,whitelist,normie
able,whitelist,normie
social,whitelist,normie
head,whitelist,normie
always,whitelist,normie
earlier,whitelist,normie
example,whitelist,normie
spending,whitelist,normie
done,whitelist,normie
themselves,whitelist,normie
led,whitelist,normie
income,whitelist,normie
association,whitelist,normie
speech,whitelist,normie
leader,whitelist,normie
himself,whitelist,normie
lost,whitelist,normie
hold,whitelist,normie
possible,whitelist,normie
front,whitelist,normie
medical,whitelist,normie
lawyer,whitelist,normie
became,whitelist,normie
study,whitelist,normie
problem,whitelist,normie
computer,whitelist,normie
action,whitelist,normie
officers,whitelist,normie
wanted,whitelist,normie
authority,whitelist,normie
ofthe,reserved,normie
inthe,reserved,normie
tothe,reserved,normie
forthe,reserved,normie
onthe,reserved,normie
thatthe,reserved,normie
andthe,reserved,normie
atthe,reserved,normie
ina,reserved,normie
tobe,reserved,normie
hesaid,reserved,normie
withthe,reserved,normie
fromthe,reserved,normie
bythe,reserved,normie
ofa,reserved,normie
newyork,reserved,normie
asa,reserved,normie
saidthe,reserved,normie
mrdole,reserved,normie
thenew,reserved,normie
itis,reserved,normie
havebeen,reserved,normie
hasbeen,reserved,normie
fora,reserved,normie
itwas,reserved,normie
oneof,reserved,normie
isa,reserved,normie
unitedstates,reserved,normie
thefirst,reserved,normie
theunited,reserved,normie
saidthat,reserved,normie
anda,reserved,normie
morethan,reserved,normie
toa,reserved,normie
thathe,reserved,normie
witha,reserved,normie
thestate,reserved,normie
wouldbe,reserved,normie
hadbeen,reserved,normie
asthe,reserved,normie
hewas,reserved,normie
thecity,reserved,normie
butthe,reserved,normie
willbe,reserved,normie
isthe,reserved,normie
aboutthe,reserved,normie
mrclinton,reserved,normie
dont,reserved,normie
percentof,reserved,normie
overthe,reserved,normie
saidhe,reserved,normie
lastyear,reserved,normie
thecompany,reserved,normie
ona,reserved,normie
wasa,reserved,normie
didnot,reserved,normie
ofhis,reserved,normie
thelast,reserved,normie
afterthe,reserved,normie
thesame,reserved,normie
theyare,reserved,normie
outof,reserved,normie
ata,reserved,normie
themost,reserved,normie
whenthe,reserved,normie
goingto,reserved,normie
hehad,reserved,normie
thatthey,reserved,normie
thegovernment,reserved,normie
partof,reserved,normie
andthat,reserved,normie
thatit,reserved,normie
anew,reserved,normie
thatmr,reserved,normie
isnot,reserved,normie
therepublican,reserved,normie
wasthe,reserved,normie
theworld,reserved,normie
tohave,reserved,normie
thisis,reserved,normie
intothe,reserved,normie
tomake,reserved,normie
thereis,reserved,normie
thepresident,reserved,normie
doles,reserved,normie
numberof,reserved,normie
shesaid,reserved,normie
bya,reserved,normie
todo,reserved,normie
thatis,reserved,normie
someof,reserved,normie
saidthey,reserved,normie
atleast,reserved,normie
whois,reserved,normie
innew,reserved,normie
thefederal,reserved,normie
yearsago,reserved,normie
inan,reserved,normie
thisyear,sup,normie
andother,whitelist,normie
thetwo,whitelist,normie
haveto,whitelist,normie
froma,whitelist,normie
inhis,whitelist,normie
directorof,whitelist,normie
ofits,whitelist,normie
saidit,whitelist,normie
oftheir,whitelist,normie
wouldhave,whitelist,normie
hehas,whitelist,normie
ayear,whitelist,normie
ofmr,whitelist,normie
theyhave,whitelist,normie
wasnot,whitelist,normie
wantto,whitelist,normie
thecountry,whitelist,normie
yearold,whitelist,normie
accordingto,whitelist,normie
theamerican,whitelist,normie
theparty,whitelist,normie
whichis,whitelist,normie
alot,whitelist,normie
theywere,whitelist,normie
inwhich,whitelist,normie
presidentof,whitelist,normie
itwould,whitelist,normie
mrkemp,whitelist,normie
duringthe,whitelist,normie
tryingto,whitelist,normie
saidmr,whitelist,normie
ifthe,whitelist,normie
whowas,whitelist,normie
isthat,whitelist,normie
thebill,whitelist,normie
mostof,whitelist,normie
becauseof,whitelist,normie
whitehouse,whitelist,normie
andhis,whitelist,normie
thata,whitelist,normie
thenational,whitelist,normie
im,whitelist,normie
theplane,whitelist,normie
wehave,whitelist,normie
ofan,whitelist,normie
bea,whitelist,normie
allthe,whitelist,normie
afew,whitelist,normie
were,whitelist,normie
ofnew,whitelist,normie
saidin,whitelist,normie
arenot,whitelist,normie
beforethe,whitelist,normie
thatwould,whitelist,normie
thenation,whitelist,normie
toget,whitelist,normie
aswell,whitelist,normie
havea,whitelist,normie
therewas,whitelist,normie
heis,whitelist,normie
clintons,whitelist,normie
lastmonth,whitelist,normie
lastweek,whitelist,normie
underthe,whitelist,normie
andto,whitelist,normie
ofthem,whitelist,normie
inthis,whitelist,normie
manyof,whitelist,normie
thereare,whitelist,normie
thenext,whitelist,normie
peoplewho,whitelist,normie
andit,whitelist,normie
wherethe,whitelist,normie
citys,whitelist,normie
lotof,whitelist,normie
sa,whitelist,normie
bobdole,whitelist,normie
isto,whitelist,normie
thef,whitelist,normie
weare,whitelist,normie
presidentclinton,whitelist,normie
ableto,whitelist,normie
thecase,whitelist,normie
theconvention,whitelist,normie
aformer,whitelist,normie
theyhad,whitelist,normie
theend,whitelist,normie
ofthis,whitelist,normie
thana,whitelist,normie
butit,whitelist,normie
andmr,whitelist,normie
theother,whitelist,normie
hewould,whitelist,normie
thathas,whitelist,normie
theonly,whitelist,normie
intheir,whitelist,normie
newjersey,whitelist,normie
idon,whitelist,normie
twoyears,whitelist,normie
tomr,whitelist,normie
chairmanof,whitelist,normie
upto,whitelist,normie
donot,whitelist,normie
maybe,whitelist,normie
thats,whitelist,normie
andin,whitelist,normie
intoa,whitelist,normie
throughthe,whitelist,normie
couldbe,whitelist,normie
bethe,whitelist,normie
thenumber,whitelist,normie
saidi,whitelist,normie
thanthe,whitelist,normie
expectedto,whitelist,normie
thisweek,whitelist,normie
andthey,whitelist,normie
thewhite,whitelist,normie
whohas,whitelist,normie
likethe,whitelist,normie
ithink,whitelist,normie
kindof,whitelist,normie
whohave,whitelist,normie
ithas,whitelist,normie
whenhe,whitelist,normie
canbe,whitelist,normie
yorkcity,whitelist,normie
thatare,whitelist,normie
notto,whitelist,normie
therepublicans,whitelist,normie
notbe,whitelist,normie
thatwas,whitelist,normie
totake,whitelist,normie
theway,whitelist,normie
thetime,whitelist,normie
muchof,whitelist,normie
endof,whitelist,normie
ratherthan,whitelist,normie
upthe,whitelist,normie
officialssaid,whitelist,normie
wellas,whitelist,normie
theyre,whitelist,normie
sincethe,whitelist,normie
asan,whitelist,normie
thatwe,whitelist,normie
betweenthe,whitelist,normie
andi,whitelist,normie
whohad,whitelist,normie
wouldnot,whitelist,normie
andhe,whitelist,normie
forexample,whitelist,normie
whilethe,whitelist,normie
thousandsof,whitelist,normie
whoare,whitelist,normie
thewar,whitelist,normie
abomb,whitelist,normie
couldnot,whitelist,normie
nations,whitelist,normie
todaythat,whitelist,normie
wayto,whitelist,normie
saythey,whitelist,normie
doesnot,whitelist,normie
amongthe,whitelist,normie
offthe,whitelist,normie
saidbut,whitelist,normie
butthey,whitelist,normie
whenthey,whitelist,normie
shouldbe,whitelist,normie
lessthan,whitelist,normie
aftera,whitelist,normie
companys,whitelist,normie
thosewho,whitelist,normie
hada,whitelist,normie
buthe,whitelist,normie
theirown,whitelist,normie
didnt,whitelist,normie
tosee,whitelist,normie
hasa,whitelist,normie
togo,whitelist,normie
fb,whitelist,normie
whichhas,whitelist,normie
fiveyears,whitelist,normie
ifthey,whitelist,normie
forhis,whitelist,normie
thepolice,whitelist,normie
bi,whitelist,normie
tokeep,whitelist,normie
theeconomy,whitelist,normie
theywould,whitelist,normie
inits,whitelist,normie
fortheir,whitelist,normie
vicepresident,whitelist,normie
states,whitelist,normie
allof,whitelist,normie
andthen,whitelist,normie
thehouse,whitelist,normie
tw,whitelist,normie
wa,whitelist,normie
usedto,whitelist,normie
itwill,whitelist,normie
andtheir,whitelist,normie
backto,whitelist,normie
towork,whitelist,normie
ofthose,whitelist,normie
percentin,whitelist,normie
isnow,whitelist,normie
tofind,whitelist,normie
formr,whitelist,normie
arethe,whitelist,normie
sucha,whitelist,normie
primeminister,whitelist,normie
sandiego,whitelist,normie
againstthe,whitelist,normie
tohelp,whitelist,normie
1percent,whitelist,normie
cant,whitelist,normie
theright,whitelist,normie
willnot,whitelist,normie
themto,whitelist,normie
saidand,whitelist,normie
partys,whitelist,normie
topay,whitelist,normie
thecrash,whitelist,normie
headded,whitelist,normie
theformer,whitelist,normie
aroundthe,whitelist,normie
thebest,whitelist,normie
hadto,whitelist,normie
millionin,whitelist,normie
onjuly,whitelist,normie
injune,whitelist,normie
in1994,whitelist,normie
calledthe,whitelist,normie
agreedto,whitelist,normie
acrossthe,whitelist,normie
saidwe,whitelist,normie
theday,whitelist,normie
triedto,whitelist,normie
thepublic,whitelist,normie
saythat,whitelist,normie
saidtoday,whitelist,normie
outthe,whitelist,normie
whichwas,whitelist,normie
wallstreet,whitelist,normie
becausethe,whitelist,normie
in1992,whitelist,normie
firsttime,whitelist,normie
ofher,whitelist,normie
ofpeople,whitelist,normie
hadnot,whitelist,normie
themayor,whitelist,normie
thegroup,whitelist,normie
yearsof,whitelist,normie
aninterview,whitelist,normie
youcan,whitelist,normie
inwashington,whitelist,normie
hundredsof,whitelist,normie
flight800,whitelist,normie
inaddition,whitelist,normie
andwe,whitelist,normie
thesecond,whitelist,normie
sofar,whitelist,normie
likea,whitelist,normie
nota,whitelist,normie
beena,whitelist,normie
thatin,whitelist,normie
ashe,whitelist,normie
hasnot,whitelist,normie
theboard,whitelist,normie
theissue,whitelist,normie
shewas,whitelist,normie
theplan,whitelist,normie
along,whitelist,normie
ithad,whitelist,normie
ifyou,whitelist,normie
avery,whitelist,normie
tobuy,whitelist,normie
amajor,whitelist,normie
togive,whitelist,normie
inrecent,whitelist,normie
isan,whitelist,normie
notthe,whitelist,normie
sthe,whitelist,normie
theyear,whitelist,normie
thathave,whitelist,normie
theres,whitelist,normie
thatthere,whitelist,normie
therewere,whitelist,normie
itsown,whitelist,normie
orthe,whitelist,normie
fouryears,whitelist,normie
butin,whitelist,normie
bymr,whitelist,normie
havethe,whitelist,normie
withmr,whitelist,normie
billionin,whitelist,normie
of1,whitelist,normie
yearthe,whitelist,normie
wantedto,whitelist,normie
itto,whitelist,normie
membersof,whitelist,normie
himto,whitelist,normie
taxcuts,whitelist,normie
basedin,whitelist,normie
tohis,whitelist,normie
ofwhat,whitelist,normie
theclinton,whitelist,normie
republicanparty,whitelist,normie
thedole,whitelist,normie
thatwill,whitelist,normie
doesnt,whitelist,normie
iwas,whitelist,normie
memberof,whitelist,normie
andis,whitelist,normie
theschool,whitelist,normie
theprogram,whitelist,normie
alittle,whitelist,normie
notonly,whitelist,normie
hisown,whitelist,normie
whatthey,whitelist,normie
saida,whitelist,normie
universityof,whitelist,normie
ofall,whitelist,normie
effortto,whitelist,normie
thedemocratic,whitelist,normie
chiefexecutive,whitelist,normie
aspokesman,whitelist,normie
thepast,whitelist,normie
lawenforcement,whitelist,normie
yesterdaythat,whitelist,normie
howto,whitelist,normie
snot,whitelist,normie
buta,whitelist,normie
asmuch,whitelist,normie
asmall,whitelist,normie
saythe,whitelist,normie
atamp,whitelist,normie
ampt,whitelist,normie
thelong,whitelist,normie
theuniversity,whitelist,normie
tocome,whitelist,normie
inone,whitelist,normie
notbeen,whitelist,normie
isno,whitelist,normie
asthey,whitelist,normie
whichthe,whitelist,normie
therest,whitelist,normie
withhis,whitelist,normie
longisland,whitelist,normie
headof,whitelist,normie
havenot,whitelist,normie
butthat,whitelist,normie
onmonday,whitelist,normie
slargest,whitelist,normie
becauseit,whitelist,normie
theywill,whitelist,normie
asit,whitelist,normie
enoughto,whitelist,normie
saidyesterday,whitelist,normie
thepeople,whitelist,normie
towin,whitelist,normie
foran,whitelist,normie
andhas,whitelist,normie
butmr,whitelist,normie
soffice,whitelist,normie
tosay,whitelist,normie
spokesmanfor,whitelist,normie
theycan,whitelist,normie
asenior,whitelist,normie
whetherthe,whitelist,normie
theysaid,whitelist,normie
injuly,whitelist,normie
weve,whitelist,normie
mryeltsin,whitelist,normie
isin,whitelist,normie
theolympics,whitelist,normie
abig,whitelist,normie
countrys,whitelist,normie
basedon,whitelist,normie
theinternet,whitelist,normie
thebudget,whitelist,normie
onthursday,whitelist,normie
theagency,whitelist,normie
mrnetanyahu,whitelist,normie
iam,whitelist,normie
tknow,whitelist,normie
isone,whitelist,normie
withan,whitelist,normie
intendedto,whitelist,normie
thewest,whitelist,normie
andone,whitelist,normie
ofthat,whitelist,normie
aday,whitelist,normie
themoney,whitelist,normie
theindustry,whitelist,normie
tryto,whitelist,normie
thatshe,whitelist,normie
plansto,whitelist,normie
nothave,whitelist,normie
asmany,whitelist,normie
downthe,whitelist,normie
smith,whitelist,premium
johnson,whitelist,premium
williams,whitelist,premium
brown,whitelist,premium
jones,whitelist,premium
garcia,whitelist,premium
miller,whitelist,premium
davis,whitelist,premium
rodriguez,whitelist,premium
martinez,whitelist,premium
hernandez,whitelist,premium
lopez,whitelist,premium
gonzalez,whitelist,premium
wilson,whitelist,premium
anderson,whitelist,premium
thomas,whitelist,premium
taylor,whitelist,premium
moore,whitelist,premium
jackson,whitelist,premium
martin,whitelist,premium
lee,whitelist,premium
perez,whitelist,premium
thompson,whitelist,premium
white,whitelist,premium
harris,whitelist,premium
sanchez,whitelist,premium
clark,whitelist,premium
ramirez,whitelist,premium
lewis,whitelist,premium
robinson,whitelist,premium
walker,whitelist,premium
young,whitelist,premium
allen,whitelist,premium
king,whitelist,premium
wright,whitelist,premium
scott,whitelist,premium
torres,whitelist,premium
nguyen,whitelist,premium
hill,whitelist,premium
flores,whitelist,premium
green,whitelist,premium
adams,whitelist,premium
nelson,whitelist,premium
baker,whitelist,premium
hall,whitelist,premium
rivera,whitelist,premium
campbell,whitelist,premium
mitchell,whitelist,premium
carter,whitelist,premium
roberts,whitelist,premium
gomez,whitelist,premium
phillips,whitelist,premium
evans,whitelist,premium
turner,whitelist,premium
diaz,whitelist,premium
parker,whitelist,premium
cruz,whitelist,premium
edwards,whitelist,premium
collins,whitelist,premium
reyes,whitelist,premium
stewart,whitelist,premium
morris,whitelist,premium
morales,whitelist,premium
murphy,whitelist,premium
cook,whitelist,premium
rogers,whitelist,premium
gutierrez,whitelist,premium
ortiz,whitelist,premium
morgan,whitelist,premium
cooper,whitelist,premium
peterson,whitelist,premium
bailey,whitelist,premium
reed,whitelist,premium
kelly,whitelist,premium
howard,whitelist,premium
ramos,whitelist,premium
kim,whitelist,premium
cox,whitelist,premium
ward,whitelist,premium
richardson,whitelist,premium
watson,whitelist,premium
brooks,whitelist,premium
chavez,whitelist,premium
wood,whitelist,premium
james,whitelist,premium
bennett,whitelist,premium
gray,whitelist,premium
mendoza,whitelist,premium
ruiz,whitelist,premium
hughes,whitelist,premium
price,whitelist,premium
alvarez,whitelist,premium
castillo,whitelist,premium
sanders,whitelist,premium
patel,whitelist,premium
myers,whitelist,premium
long,whitelist,premium
ross,whitelist,premium
foster,whitelist,premium
jimenez,whitelist,premium
powell,whitelist,
jenkins,whitelist,normie
perry,whitelist,normie
russell,whitelist,normie
sullivan,whitelist,normie
bell,whitelist,normie
coleman,whitelist,normie
butler,whitelist,normie
henderson,whitelist,normie
barnes,whitelist,normie
gonzales,whitelist,normie
fisher,whitelist,normie
vasquez,whitelist,normie
simmons,whitelist,normie
romero,whitelist,normie
jordan,whitelist,normie
patterson,whitelist,normie
alexander,whitelist,normie
hamilton,whitelist,normie
graham,whitelist,normie
reynolds,whitelist,normie
griffin,whitelist,normie
wallace,whitelist,normie
moreno,whitelist,normie
west,whitelist,normie
cole,whitelist,normie
hayes,whitelist,normie
bryant,whitelist,normie
herrera,whitelist,normie
gibson,whitelist,normie
ellis,whitelist,normie
tran,whitelist,normie
medina,whitelist,normie
aguilar,whitelist,normie
stevens,whitelist,normie
murray,whitelist,normie
ford,whitelist,normie
castro,whitelist,normie
marshall,whitelist,normie
owens,whitelist,normie
harrison,whitelist,normie
fernandez,whitelist,normie
mcdonald,whitelist,normie
woods,whitelist,normie
washington,whitelist,normie
kennedy,whitelist,normie
wells,whitelist,normie
vargas,whitelist,normie
henry,whitelist,normie
chen,whitelist,normie
freeman,whitelist,normie
webb,whitelist,normie
tucker,whitelist,normie
guzman,whitelist,normie
burns,whitelist,normie
crawford,whitelist,normie
olson,whitelist,normie
simpson,whitelist,normie
porter,whitelist,normie
hunter,whitelist,normie
gordon,whitelist,normie
mendez,whitelist,normie
silva,whitelist,normie
shaw,whitelist,normie
snyder,whitelist,normie
mason,whitelist,normie
dixon,whitelist,normie
munoz,whitelist,normie
hunt,whitelist,normie
hicks,whitelist,normie
holmes,whitelist,normie
palmer,whitelist,normie
wagner,whitelist,normie
black,whitelist,normie
robertson,whitelist,normie
boyd,whitelist,normie
rose,whitelist,normie
stone,whitelist,normie
salazar,whitelist,normie
fox,whitelist,normie
warren,whitelist,normie
mills,whitelist,normie
meyer,whitelist,normie
rice,whitelist,normie
schmidt,whitelist,normie
garza,whitelist,normie
daniels,whitelist,normie
ferguson,whitelist,normie
nichols,whitelist,normie
stephens,whitelist,normie
soto,whitelist,normie
weaver,whitelist,normie
ryan,whitelist,normie
gardner,whitelist,normie
payne,whitelist,normie
grant,whitelist,normie
dunn,whitelist,normie
kelley,whitelist,normie
spencer,whitelist,normie
hawkins,whitelist,normie
arnold,whitelist,normie
pierce,whitelist,normie
vazquez,whitelist,normie
hansen,whitelist,normie
peters,whitelist,normie
santos,whitelist,normie
hart,whitelist,normie
bradley,whitelist,normie
knight,whitelist,normie
elliott,whitelist,normie
cunningham,whitelist,normie
duncan,whitelist,normie
armstrong,whitelist,normie
hudson,whitelist,normie
carroll,whitelist,normie
lane,whitelist,normie
riley,whitelist,normie
andrews,whitelist,normie
alvarado,whitelist,normie
ray,whitelist,normie
delgado,whitelist,normie
berry,whitelist,normie
perkins,whitelist,normie
hoffman,whitelist,normie
johnston,whitelist,normie
matthews,whitelist,normie
pena,whitelist,normie
richards,whitelist,normie
contreras,whitelist,normie
willis,whitelist,normie
carpenter,whitelist,normie
lawrence,whitelist,normie
sandoval,whitelist,normie
guerrero,whitelist,normie
george,whitelist,normie
chapman,whitelist,normie
rios,whitelist,normie
estrada,whitelist,normie
ortega,whitelist,normie
watkins,whitelist,normie
greene,whitelist,normie
nunez,whitelist,normie
wheeler,whitelist,normie
valdez,whitelist,normie
harper,whitelist,normie
burke,whitelist,normie
